INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user1'	, 	'1234'	, 	'user1@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user2'	, 	'1234'	, 	'user2@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user3'	, 	'1234'	, 	'user3@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user4'	, 	'1234'	, 	'user4@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user5'	, 	'1234'	, 	'user5@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user6'	, 	'1234'	, 	'user6@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user7'	, 	'1234'	, 	'user7@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user8'	, 	'1234'	, 	'user8@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user9'	, 	'1234'	, 	'user9@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user10'	, 	'1234'	, 	'user10@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user11'	, 	'1234'	, 	'user11@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user12'	, 	'1234'	, 	'user12@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user13'	, 	'1234'	, 	'user13@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user14'	, 	'1234'	, 	'user14@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user15'	, 	'1234'	, 	'user15@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user16'	, 	'1234'	, 	'user16@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user17'	, 	'1234'	, 	'user17@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user18'	, 	'1234'	, 	'user18@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user19'	, 	'1234'	, 	'user19@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user20'	, 	'1234'	, 	'user20@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user21'	, 	'1234'	, 	'user21@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user22'	, 	'1234'	, 	'user22@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user23'	, 	'1234'	, 	'user23@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user24'	, 	'1234'	, 	'user24@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user25'	, 	'1234'	, 	'user25@example.com'	);
INSERT INTO pd_user (userid, nickname, pwd, email) VALUES (	pd_user_seq.NEXTVAL	, 	'user26'	, 	'1234'	, 	'user26@example.com'	);
